epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.59372,1.53928,2.64428,1.58962,0.36906,0.888,0.38884,0.30689,0.58842,5.2166,0.86423,0.00011669,0.00011669,0.00011669
2,2.79223,0.68539,0.66643,0.98833,0.43375,1,0.53834,0.44507,0.70087,6.75804,0.88847,0.000247575,0.000247575,0.000247575
3,3.91109,0.6369,0.48991,0.91289,0.43382,1,0.44462,0.35432,0.80049,3.77633,0.89498,0.000375818,0.000375818,0.000375818
4,5.01304,0.60845,0.43361,0.89191,0.43103,1,0.45713,0.38716,0.62798,4.32267,0.87782,0.000501422,0.000501422,0.000501422
5,6.09654,0.6538,0.44492,0.89966,0.42995,1,0.44031,0.37796,0.56567,3.96254,0.84293,0.000624385,0.000624385,0.000624385
6,7.1728,0.59983,0.40075,0.88771,0.43459,1,0.43523,0.36546,0.62074,3.11673,0.84985,0.000744707,0.000744707,0.000744707
7,8.27755,0.57339,0.39026,0.88321,0.43472,1,0.43941,0.38018,0.53545,2.91789,0.83473,0.000862389,0.000862389,0.000862389
8,21.4903,0.59072,0.35801,0.8824,0.43465,1,0.45303,0.38543,0.57571,2.63868,0.84607,0.00097743,0.00097743,0.00097743
9,23.3821,0.57984,0.36306,0.87993,0.43462,1,0.5055,0.42684,0.6397,2.5798,0.86611,0.00108983,0.00108983,0.00108983
10,24.3962,0.5932,0.35285,0.88665,0.43459,0.99922,0.46411,0.39983,0.53307,2.33568,0.83898,0.00119959,0.00119959,0.00119959
11,25.4433,0.56629,0.34087,0.87375,0.43464,1,0.43261,0.36817,0.56062,2.16224,0.83824,0.00130671,0.00130671,0.00130671
12,26.4838,0.56973,0.35975,0.87212,0.4345,1,0.4642,0.39242,0.57589,2.00437,0.83681,0.00141119,0.00141119,0.00141119
13,27.5071,0.54896,0.33835,0.87139,0.4347,1,0.58545,0.49745,0.56815,3.0612,0.84584,0.00146896,0.00146896,0.00146896
14,28.643,0.5949,0.36748,0.88202,0.43469,1,0.43261,0.36401,0.60914,2.38122,0.84799,0.00145246,0.00145246,0.00145246
15,29.6958,0.57914,0.35074,0.88315,0.43471,1,0.43899,0.37029,0.58895,1.86151,0.84315,0.00143595,0.00143595,0.00143595
16,30.7227,0.54831,0.33807,0.86815,0.43468,1,0.43261,0.37229,0.54816,3.29845,0.8331,0.00141945,0.00141945,0.00141945
17,31.7475,0.55026,0.33119,0.86606,0.43469,1,0.43509,0.38447,0.4987,2.78168,0.81607,0.00140295,0.00140295,0.00140295
18,32.7592,0.54542,0.3201,0.86548,0.43472,1,0.47891,0.40694,0.6003,2.18871,0.84465,0.00138644,0.00138644,0.00138644
19,33.782,0.55307,0.31925,0.86713,0.43453,1,0.43607,0.38151,0.54131,2.13287,0.82793,0.00136994,0.00136994,0.00136994
20,34.8281,0.55481,0.31859,0.86593,0.43367,0.996,0.45657,0.40073,0.49327,2.15335,0.8162,0.00135344,0.00135344,0.00135344
21,35.8437,0.55026,0.31489,0.86818,0.41115,0.91047,0.42723,0.37561,0.56605,2.25144,0.8504,0.00133693,0.00133693,0.00133693
22,36.8723,0.55374,0.31338,0.86414,0.36529,0.78,0.31304,0.27838,0.60793,2.5637,0.90462,0.00132043,0.00132043,0.00132043
23,37.8888,0.5423,0.31349,0.86718,0.21766,0.70555,0.17602,0.15226,0.8178,4.90338,1.32189,0.00130393,0.00130393,0.00130393
24,38.9158,0.53613,0.30223,0.85847,0.41738,0.892,0.39225,0.34648,0.61811,2.27352,0.91777,0.00128742,0.00128742,0.00128742
25,39.9727,0.51816,0.30007,0.85512,0.42926,0.98375,0.46304,0.41106,0.50975,2.14244,0.82625,0.00127092,0.00127092,0.00127092
26,40.986,0.51341,0.29683,0.85492,0.43007,0.98398,0.53519,0.4649,0.56954,1.87554,0.83215,0.00125442,0.00125442,0.00125442
27,42.0043,0.50349,0.28515,0.85284,0.41612,0.94,0.51555,0.41021,0.79486,1.89201,0.89481,0.00123791,0.00123791,0.00123791
28,43.0423,0.51141,0.28192,0.85305,0.40356,0.876,0.49441,0.42434,0.67817,1.93568,0.87034,0.00122141,0.00122141,0.00122141
29,44.0727,0.5271,0.28798,0.8553,0.33943,0.72965,0.32221,0.26496,0.66136,2.64806,0.88472,0.00120491,0.00120491,0.00120491
30,45.073,0.54252,0.29544,0.86236,0.36364,0.8,0.34259,0.23714,0.87238,3.24081,0.94375,0.0011884,0.0011884,0.0011884
31,46.0803,0.54862,0.30239,0.86308,0.38387,0.868,0.36681,0.29718,0.5645,2.55214,0.84697,0.0011719,0.0011719,0.0011719
