epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.38656,1.75849,3.56555,1.70278,0.08482,0.992,0.09355,0.07613,0.65804,3.2456,0.8858,0.00011669,0.00011669,0.00011669
2,2.1079,0.9846,2.81779,1.1501,0.0755,0.996,0.36469,0.26459,0.72859,2.82393,0.85325,0.000245099,0.000245099,0.000245099
3,2.77209,0.94594,1.72038,1.04746,0.08144,0.992,0.28222,0.20903,0.99237,2.72093,0.95075,0.000368227,0.000368227,0.000368227
4,3.44447,0.90619,1.1578,1.0191,0.39048,0.55607,0.39923,0.29555,1.12913,1.85805,0.90033,0.000486074,0.000486074,0.000486074
5,4.12367,0.91273,0.94979,1.04526,0.44518,0.956,0.45151,0.31687,1.09547,1.77397,0.87101,0.00059864,0.00059864,0.00059864
6,4.79561,0.85211,0.87695,1.03542,0.43258,0.976,0.44382,0.33072,0.92732,1.6395,0.862,0.000705924,0.000705924,0.000705924
7,5.47615,0.78414,0.74124,1.00631,0.43666,0.91775,0.4563,0.34938,0.82754,1.59685,0.86332,0.000807928,0.000807928,0.000807928
8,6.1835,0.79511,0.72568,1.00663,0.43212,0.98618,0.47616,0.40473,0.63805,1.43112,0.84737,0.000904651,0.000904651,0.000904651
9,6.90153,0.80283,0.69331,1.00991,0.43369,0.996,0.53791,0.46487,0.58253,1.53327,0.83268,0.000996093,0.000996093,0.000996093
10,7.59656,0.77096,0.65496,1.01043,0.43476,1,0.51667,0.40162,0.88343,1.95229,0.94053,0.00108225,0.00108225,0.00108225
11,8.28641,0.74709,0.61251,0.97725,0.43033,0.99412,0.54399,0.45277,0.65522,2.22135,0.96336,0.00116313,0.00116313,0.00116313
12,9.00645,0.73383,0.60473,0.98697,0.43288,0.996,0.58147,0.47789,0.63573,1.86295,0.90706,0.00123873,0.00123873,0.00123873
13,9.6849,0.75862,0.59474,0.97762,0.43103,0.972,0.60905,0.49839,0.69235,1.36758,0.92418,0.00127092,0.00127092,0.00127092
14,10.366,0.71641,0.57275,0.95323,0.43374,0.996,0.54158,0.42174,0.69612,1.47998,0.86812,0.00123791,0.00123791,0.00123791
15,11.0444,0.70043,0.56292,0.95476,0.43152,0.992,0.49019,0.40974,0.60534,1.52808,0.89808,0.00120491,0.00120491,0.00120491
16,11.7274,0.69726,0.5507,0.95673,0.4336,0.996,0.56622,0.46747,0.59248,1.56548,0.85278,0.0011719,0.0011719,0.0011719
17,12.4051,0.66564,0.52999,0.94479,0.43425,1,0.51087,0.44059,0.55251,1.64553,0.84618,0.00113889,0.00113889,0.00113889
18,13.0704,0.72699,0.5698,0.97168,0.43389,0.99946,0.4854,0.41878,0.55289,1.48639,0.84815,0.00110589,0.00110589,0.00110589
19,13.7406,0.69989,0.53827,0.95818,0.43384,1,0.46927,0.40433,0.54278,1.45878,0.83951,0.00107288,0.00107288,0.00107288
20,14.416,0.67994,0.53269,0.95922,0.44886,0.964,0.46608,0.39421,0.60692,1.36571,0.84122,0.00103987,0.00103987,0.00103987
21,15.0813,0.69796,0.52685,0.94721,0.43679,0.99268,0.4929,0.41552,0.57558,1.3316,0.82585,0.00100687,0.00100687,0.00100687
22,15.7292,0.68413,0.51514,0.95068,0.44276,0.984,0.44917,0.37814,0.54006,1.46604,0.82387,0.000973861,0.000973861,0.000973861
23,16.3855,0.67436,0.50866,0.93115,0.43476,1,0.44454,0.3822,0.55599,1.43775,0.81682,0.000940855,0.000940855,0.000940855
24,17.0561,0.67052,0.49645,0.93187,0.43472,1,0.45362,0.38754,0.60607,1.36279,0.82862,0.000907848,0.000907848,0.000907848
25,17.7321,0.66073,0.48087,0.92559,0.43472,1,0.45787,0.39588,0.55266,1.41519,0.81997,0.000874842,0.000874842,0.000874842
26,18.4404,0.66186,0.51257,0.9417,0.4355,1,0.44875,0.39157,0.52414,1.45347,0.82924,0.000841835,0.000841835,0.000841835
27,19.1054,0.68168,0.50781,0.93996,0.43386,0.99625,0.45063,0.39252,0.56385,1.38305,0.8419,0.000808828,0.000808828,0.000808828
28,19.7763,0.65282,0.4821,0.92544,0.43473,1,0.45424,0.39526,0.52669,1.29011,0.81896,0.000775822,0.000775822,0.000775822
29,20.4391,0.67834,0.48977,0.93688,0.43472,1,0.43954,0.36263,0.6578,1.29476,0.84263,0.000742815,0.000742815,0.000742815
30,21.1039,0.64528,0.47284,0.93407,0.43472,1,0.43612,0.38354,0.51715,1.43764,0.84219,0.000709809,0.000709809,0.000709809
31,21.7703,0.6763,0.4853,0.94462,0.43473,1,0.43611,0.38443,0.49712,1.55531,0.82906,0.000676802,0.000676802,0.000676802
32,22.4252,0.64861,0.48051,0.94505,0.43539,0.99939,0.44467,0.36973,0.62144,1.44286,0.86932,0.000643795,0.000643795,0.000643795
33,23.081,0.6181,0.45098,0.92531,0.43471,1,0.44529,0.36653,0.66847,1.30668,0.88957,0.000610789,0.000610789,0.000610789
34,23.7312,0.61768,0.45928,0.91621,0.4347,1,0.45879,0.40247,0.54003,1.24559,0.84971,0.000577782,0.000577782,0.000577782
35,24.4008,0.61379,0.44505,0.91196,0.4347,1,0.4548,0.39841,0.5401,1.30702,0.84404,0.000544776,0.000544776,0.000544776
36,25.0611,0.60864,0.44662,0.91819,0.43469,1,0.44974,0.38628,0.56567,1.42497,0.83546,0.000511769,0.000511769,0.000511769
37,25.7146,0.61951,0.43778,0.91544,0.43475,1,0.45493,0.38555,0.58349,1.53577,0.83428,0.000478762,0.000478762,0.000478762
38,26.3783,0.61798,0.45044,0.91519,0.43471,1,0.44767,0.38871,0.52599,1.52105,0.82723,0.000445756,0.000445756,0.000445756
39,27.0926,0.61927,0.43552,0.91822,0.43472,1,0.45224,0.39487,0.49494,1.52179,0.81543,0.000412749,0.000412749,0.000412749
40,27.7432,0.61973,0.42871,0.91221,0.43472,1,0.45348,0.39711,0.50861,1.51588,0.81736,0.000379743,0.000379743,0.000379743
41,38.9887,0.5384,0.57666,0.87068,0.43383,1,0.49005,0.42499,0.52462,1.60426,0.82122,0.000346736,0.000346736,0.000346736
42,39.5938,0.56424,0.45489,0.87178,0.4347,0.99966,0.49781,0.43294,0.52151,1.70524,0.82291,0.000313729,0.000313729,0.000313729
43,40.2013,0.52949,0.39741,0.86069,0.43393,0.99959,0.50331,0.44185,0.49358,1.7178,0.81577,0.000280723,0.000280723,0.000280723
44,40.8388,0.53082,0.38567,0.85686,0.43352,0.996,0.47769,0.42238,0.48886,1.68567,0.81194,0.000247716,0.000247716,0.000247716
45,41.4586,0.54797,0.39548,0.8588,0.43383,1,0.48326,0.41724,0.54768,1.63443,0.8207,0.00021471,0.00021471,0.00021471
