epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.55815,1.98949,3.36031,1.75427,0.43165,0.984,0.43301,0.34169,0.74596,3.45338,0.88328,0.00011669,0.00011669,0.00011669
2,2.76138,0.88606,0.77728,1.07841,0.43494,0.976,0.44082,0.36732,0.6029,6.05544,0.84512,0.000249989,0.000249989,0.000249989
3,3.88366,0.73709,0.47971,0.9583,0.43278,0.992,0.49308,0.42558,0.57408,4.33733,0.83575,0.000383035,0.000383035,0.000383035
4,5.06599,0.73306,0.4433,0.9561,0.43205,0.984,0.4662,0.38891,0.62318,4.60652,0.84865,0.000515635,0.000515635,0.000515635
5,6.14264,0.69286,0.40592,0.93525,0.43687,0.984,0.44262,0.37551,0.61169,3.05909,0.85121,0.000647592,0.000647592,0.000647592
6,7.21192,0.69014,0.40885,0.93863,0.42586,0.904,0.44247,0.38186,0.54738,3.78288,0.84163,0.000778715,0.000778715,0.000778715
7,8.25768,0.6949,0.40146,0.9339,0.43359,0.936,0.50737,0.43527,0.57202,3.38253,0.84241,0.000908811,0.000908811,0.000908811
8,9.417,0.6844,0.40089,0.93793,0.43619,0.912,0.49282,0.42004,0.58821,2.29476,0.84601,0.00103769,0.00103769,0.00103769
9,10.5089,0.66715,0.38566,0.91629,0.43302,0.996,0.46572,0.40519,0.52046,2.5538,0.82345,0.00116516,0.00116516,0.00116516
10,11.5417,0.70347,0.39919,0.92621,0.43385,1,0.48492,0.41512,0.59945,2.57311,0.84284,0.00129105,0.00129105,0.00129105
11,12.603,0.71711,0.42647,0.93823,0.43371,0.996,0.43163,0.36784,0.58556,2.55631,0.8403,0.00141515,0.00141515,0.00141515
12,13.6349,0.64713,0.38436,0.9189,0.43473,1,0.48059,0.41381,0.60806,2.31803,0.8471,0.00153731,0.00153731,0.00153731
13,14.7006,0.66397,0.3913,0.91799,0.43473,1,0.48902,0.41431,0.60637,1.90299,0.84499,0.00160905,0.00160905,0.00160905
14,15.7488,0.66972,0.39753,0.92295,0.43474,1,0.43261,0.36976,0.60348,2.52407,0.84365,0.00159913,0.00159913,0.00159913
15,16.8068,0.64952,0.37954,0.91122,0.43372,0.996,0.43163,0.35926,0.64634,2.32933,0.85613,0.00158847,0.00158847,0.00158847
16,17.8895,0.65647,0.38983,0.93434,0.43356,0.996,0.43163,0.36974,0.58658,2.30151,0.84227,0.00157706,0.00157706,0.00157706
17,18.9272,0.68096,0.40156,0.9239,0.43469,1,0.43293,0.35008,0.6807,2.01387,0.86416,0.00156493,0.00156493,0.00156493
18,19.9775,0.65395,0.37705,0.91279,0.42652,0.976,0.42654,0.3651,0.58969,1.97182,0.8484,0.00155209,0.00155209,0.00155209
19,21.0252,0.63998,0.36718,0.91207,0.42512,0.96726,0.4233,0.35778,0.60422,2.04515,0.84726,0.00153854,0.00153854,0.00153854
20,22.0538,0.63381,0.35248,0.90211,0.43184,0.992,0.4299,0.37166,0.55581,1.9916,0.83272,0.00152431,0.00152431,0.00152431
21,23.0727,0.63452,0.35458,0.90927,0.43401,1,0.47878,0.41941,0.56747,1.97003,0.83015,0.00150941,0.00150941,0.00150941
22,24.1112,0.59592,0.33279,0.89132,0.4347,1,0.43992,0.3883,0.50856,1.94542,0.81913,0.00149384,0.00149384,0.00149384
23,25.1426,0.63136,0.35631,0.90278,0.43472,1,0.44641,0.37134,0.68125,2.1367,0.85106,0.00147764,0.00147764,0.00147764
24,26.2332,0.61035,0.34475,0.89613,0.43474,1,0.43261,0.37727,0.52348,1.96563,0.82281,0.0014608,0.0014608,0.0014608
25,27.2539,0.61787,0.35264,0.90304,0.43473,1,0.43261,0.36994,0.60438,2.0436,0.84111,0.00144335,0.00144335,0.00144335
26,28.3358,0.64285,0.347,0.91036,0.43472,1,0.45861,0.40904,0.50079,1.70151,0.82147,0.00142531,0.00142531,0.00142531
27,29.39,0.6372,0.34202,0.90895,0.43473,1,0.47693,0.41837,0.49827,1.55092,0.81657,0.0014067,0.0014067,0.0014067
1,1.60031,1.98949,3.36031,1.75427,0.43165,0.984,0.43301,0.34169,0.74596,3.45338,0.88328,0.00011669,0.00011669,0.00011669
2,2.812,0.88606,0.77728,1.07841,0.43494,0.976,0.44082,0.36732,0.6029,6.05544,0.84512,0.000249989,0.000249989,0.000249989
3,4.02036,0.73709,0.47971,0.9583,0.43278,0.992,0.49308,0.42558,0.57408,4.33733,0.83575,0.000383035,0.000383035,0.000383035
4,5.21244,0.73306,0.4433,0.9561,0.43205,0.984,0.4662,0.38891,0.62318,4.60652,0.84865,0.000515635,0.000515635,0.000515635
5,6.20576,0.69286,0.40592,0.93525,0.43687,0.984,0.44262,0.37551,0.61169,3.05909,0.85121,0.000647592,0.000647592,0.000647592
6,7.21137,0.69014,0.40885,0.93863,0.42586,0.904,0.44247,0.38186,0.54738,3.78288,0.84163,0.000778715,0.000778715,0.000778715
7,8.20496,0.6949,0.40146,0.9339,0.43359,0.936,0.50737,0.43527,0.57202,3.38253,0.84241,0.000908811,0.000908811,0.000908811
8,9.29389,0.6844,0.40089,0.93793,0.43619,0.912,0.49282,0.42004,0.58821,2.29476,0.84601,0.00103769,0.00103769,0.00103769
9,10.3275,0.66715,0.38566,0.91629,0.43302,0.996,0.46572,0.40519,0.52046,2.5538,0.82345,0.00116516,0.00116516,0.00116516
10,11.3005,0.70347,0.39919,0.92621,0.43385,1,0.48492,0.41512,0.59945,2.57311,0.84284,0.00129105,0.00129105,0.00129105
11,12.2521,0.71711,0.42647,0.93823,0.43371,0.996,0.43163,0.36784,0.58556,2.55631,0.8403,0.00141515,0.00141515,0.00141515
12,13.2185,0.64713,0.38436,0.9189,0.43473,1,0.48059,0.41381,0.60806,2.31803,0.8471,0.00153731,0.00153731,0.00153731
13,14.1958,0.66397,0.3913,0.91799,0.43473,1,0.48902,0.41431,0.60637,1.90299,0.84499,0.00160905,0.00160905,0.00160905
14,15.154,0.66972,0.39753,0.92295,0.43474,1,0.43261,0.36976,0.60348,2.52407,0.84365,0.00159913,0.00159913,0.00159913
15,16.0838,0.64952,0.37954,0.91122,0.43372,0.996,0.43163,0.35926,0.64634,2.32933,0.85613,0.00158847,0.00158847,0.00158847
16,17.0815,0.65647,0.38983,0.93434,0.43356,0.996,0.43163,0.36974,0.58658,2.30151,0.84227,0.00157706,0.00157706,0.00157706
17,18.0575,0.68096,0.40156,0.9239,0.43469,1,0.43293,0.35008,0.6807,2.01387,0.86416,0.00156493,0.00156493,0.00156493
18,19.0204,0.65395,0.37705,0.91279,0.42652,0.976,0.42654,0.3651,0.58969,1.97182,0.8484,0.00155209,0.00155209,0.00155209
19,20.0082,0.63998,0.36718,0.91207,0.42512,0.96726,0.4233,0.35778,0.60422,2.04515,0.84726,0.00153854,0.00153854,0.00153854
20,20.9649,0.63381,0.35248,0.90211,0.43184,0.992,0.4299,0.37166,0.55581,1.9916,0.83272,0.00152431,0.00152431,0.00152431
21,21.9379,0.63452,0.35458,0.90927,0.43401,1,0.47878,0.41941,0.56747,1.97003,0.83015,0.00150941,0.00150941,0.00150941
22,22.866,0.59592,0.33279,0.89132,0.4347,1,0.43992,0.3883,0.50856,1.94542,0.81913,0.00149384,0.00149384,0.00149384
23,23.8238,0.63136,0.35631,0.90278,0.43472,1,0.44641,0.37134,0.68125,2.1367,0.85106,0.00147764,0.00147764,0.00147764
24,24.8184,0.61035,0.34475,0.89613,0.43474,1,0.43261,0.37727,0.52348,1.96563,0.82281,0.0014608,0.0014608,0.0014608
