epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.35764,1.24348,1.44523,1.28184,0.99849,0.49588,0.49885,0.4371,0.53575,0.64939,0.81606,0.00045009,0.00045009,0.00045009
2,4.31566,0.86457,0.56199,1.02,0.99499,0.49433,0.49692,0.4364,0.5446,0.51535,0.82756,0.000916626,0.000916626,0.000916626
3,6.13229,0.82318,0.50519,0.9898,0.9292,0.49,0.43788,0.37795,0.57031,0.6935,0.82978,0.00138226,0.00138226,0.00138226
4,7.97683,0.84274,0.51281,0.9981,0.99845,0.497,0.4965,0.42489,0.64033,0.36669,0.83327,0.00166334,0.00166334,0.00166334
5,9.80689,0.80616,0.49197,0.98081,0.99842,0.497,0.4982,0.42196,0.64618,0.35307,0.83932,0.00166049,0.00166049,0.00166049
6,11.5698,0.78912,0.46458,0.96904,0.99844,0.497,0.49781,0.42519,0.64519,0.34189,0.84968,0.00165684,0.00165684,0.00165684
7,13.4718,0.78163,0.43923,0.96621,0.99837,0.497,0.50025,0.43124,0.59268,0.30906,0.8239,0.00165238,0.00165238,0.00165238
8,15.3067,0.78034,0.43915,0.9687,0.49242,0.497,0.50859,0.44096,0.53328,0.27646,0.81496,0.00164713,0.00164713,0.00164713
9,17.2924,0.75369,0.4228,0.96224,0.50038,0.58033,0.51744,0.43678,0.56777,0.29136,0.82105,0.00164108,0.00164108,0.00164108
10,19.1657,0.75384,0.41485,0.95527,0.78,0.66367,0.64753,0.51869,0.49059,0.26505,0.81188,0.00163424,0.00163424,0.00163424
11,21.0609,0.71821,0.40536,0.94631,0.97937,0.747,0.74702,0.57606,0.52425,0.26504,0.81331,0.00162661,0.00162661,0.00162661
12,22.9867,0.73227,0.39809,0.95588,0.96214,0.747,0.74584,0.55686,0.50433,0.26653,0.80977,0.00161822,0.00161822,0.00161822
13,24.8022,0.72851,0.39521,0.95195,0.88519,0.66367,0.72589,0.49885,0.68552,0.29867,0.84841,0.00160905,0.00160905,0.00160905
14,26.6523,0.73808,0.40458,0.95444,0.9907,0.747,0.74566,0.56003,0.50083,0.2715,0.81262,0.00159913,0.00159913,0.00159913
15,28.433,0.71793,0.38334,0.94255,0.79129,0.747,0.71594,0.57612,0.47215,0.25873,0.80429,0.00158847,0.00158847,0.00158847
16,30.193,0.72589,0.39365,0.94722,0.78346,0.747,0.71418,0.55784,0.52519,0.26598,0.8153,0.00157706,0.00157706,0.00157706
17,32.0063,0.71958,0.37487,0.94646,0.8439,0.747,0.72798,0.56774,0.49924,0.24902,0.80742,0.00156493,0.00156493,0.00156493
18,33.8535,0.71799,0.38099,0.94523,0.98168,0.747,0.74685,0.59685,0.51825,0.26437,0.81295,0.00155209,0.00155209,0.00155209
19,35.7312,0.68748,0.36508,0.93243,0.99692,0.61425,0.74663,0.58396,0.48921,0.24353,0.80907,0.00153854,0.00153854,0.00153854
20,37.5985,0.69226,0.36208,0.92798,0.93187,0.747,0.74671,0.60347,0.48041,0.24718,0.80532,0.00152431,0.00152431,0.00152431
